LOG_SETTING_PAUSE;Ïîêàçûâàòü â îêíå è ñòàâèòü ïàóçó.;Pop-up et Pause;Popup und Pause;Pauza przy wyskakuj¹cym oknie;Pausa con ventana emergente;Pausa;Elõugrók és szünet;Rozevírací okno a pauza;;;;;;x
SM_WATER;Óëó÷øåííàÿ âîäà;Mer animée;Komplexes Meer;Ulepszona woda;Agua avanzada;Acqua;Részletes víz ;Voda (pro pokroèilé);;;;;;x
EVTNAME4043;Íåâûãîäíàÿ òîğãîâëÿ;Commerce déficitaire;Unrentabler Handel;Handel bez zysku;Comercio infructuoso;Commercio senza profitto;Haszot nem hozó kereskedelem;Nevıhodnı obchod;;;;;;x
EVTDESC4043;Ïëîõèå óñëîâèÿ äëÿ òîğãîâëè, âîçíèêøèå â ğåçóëüòàòå ñîêğàùåíèÿ äîñòóïíûõ ğåñóğñîâ è óâåëè÷åíèÿ êîíêóğåíöèè çà íèõ, ïğèâåëè ê ğåçêîìó ñïàäó èõ äîõîäîâ îò çàìîğñêèõ òåğğèòîğèé. İòè ïå÷àëüíûå îáñòîÿòåëüñòâà âûíóæäàşò íàñ çàêğûòü Îñò-Èíäñêóş òîğãîâóş êîìïàíèş.;De mauvaises conditions commerciales résultant d'une diminution des ressources et d'une compétition accrue ont conduit à une forte baisse de nos revenus d'outre-mer. Cette mauvaise situation ne nous a pas laissé d'autre choix que de fermer notre Compagnie des Indes Orientales.;Schlechte Handelsbedingungen, ein Ergebnis schwindender Ressourcen und wachsender Konkurrenz, haben zu einem scharfen Abfall unserer Einkommen aus Übersee geführt. Diese unvorteilhaften Umstände lassen uns keine andere Wahl, als unser Ostindisches Handelshaus aufzulösen.;Kiepskie warunki handlu, bêd¹ce wynikiem zmniejszaj¹cej siê iloœci zaosbów oraz zwiêkszaj¹cej siê konkurencji, doprowadzi³y do gwa³townej obni¿ki zysków z handlu kolonialnego. Te niesprzyjaj¹ce okolicznoœci zmuszaj¹ nas do zamkniêcia Kompanii Wschodnioindyjskiej.;Las malas condiciones comerciales, resultado de la merma de recursos y el aumento de competencia, han llevado a un pronunciado declive de nuestros ingresos de ultramar. Estas desafortunadas circunstancias no nos dejan más alternativa que clausurar la compañía de las Indias Orientales.;Condizioni di commercio scarse in conseguenza delle risorse in diminuzione e della crescita della concorrenza hanno portato a un rapido declino delle nostre entrate da oltreoceano. Questa tristi circostanze ci hanno portato inevitabilmente a chiudere la nostra compagnia di commercio delle Indie.;Az rossz kereskedelmi feltételek miatt a tengerentúli kereskedelmi partnereink sorozatban visszautasítják ajánlatainkat. Ezeknek a balszerencsés eseményeknek köszönhetõen nem maradt más választásunk, mint hogy be kell zárnunk a Kelet-indiai Kereskedelmi vállalatot.;Surovinové zdroje byly vyèerpány a konkurence narostla – obchodní podmínky se zhoršily a zámoøské pøíjmy poklesly. Tyto nešastné okolnosti nám neponechaly jinou monost ne zavøít naši Vıchodoindickou spoleènost.;;;;;;x
EVTOPTA4043;×òî çà íåñ÷àñòüå!;Quel désastre !;Was für eine Katastrophe!;Co za katastrofa!;¡Qué desastre!;Che disastro!;Micsoda katasztrófa!;Taková katastrofa!;;;;;;x
hungarian_hussarDESCR;Íåóäåğæèìûå ïîäğàçäåëåíèÿ âåíãåğñêîé ëåãêîé êàâàëåğèè, ïğîñëàâëåííûå íà âñş Åâğîïó ñâîåé âûñîêîé äèñöèïëèíîé è ìàñòåğñòâîì.;Une unité de cavalerie hongroise exubérante connue dans toute l'Europe pour son niveau élevé de discipline et d'efficacité.;Eine leichte, aber schneidige ungarische Kavallerieeinheit, die in ganz Europa für ihre Disziplin und ihr Können berühmt war.;Doskona³a wêgierska kawaleria, znana w ca³ej Europie ze wzglêdu na swoj¹ dyscyplinê i umiejêtnoœci.;Una exultante unidad de caballería de húsares ligeros húngaros, famosos en toda Europa por su gran disciplina y habilidad.;Una unità di cavalleria leggera ungherese rinomata in tutta Europa per la sua forte disciplina e le ottime abilità.;Egy lelkes lovasokbólAn exuberant Hungarian light cavalry unit renowned throughout Europe for its high discipline and skill.;Rychlá maïarská lehká kavalerie, která je po celé Evropì známá svou disciplínou a dovedností.;;;;;;x
CREATE_NATIVE;Â ïğîâèíöèè $WHERE$ ïîÿâÿòñÿ âğàæäåáíûå òóçåìöû, ÷èñëî ïëåìåí êîòîğûõ áóäåò ğàâíî $SIZE$.\n;$SIZE$ tribu (s) d'indigènes hostiles va/vont apparaître en $WHERE$.\n;$SIZE$ Stämme feindschaftlicher Eingeborener erscheinen in $WHERE$.\n;$SIZE$ plemiê (plemiona) wrogich tubylców pojawi siê w $WHERE$.\n;$SIZE$ tribu(s) de indígenas hostiles aparecerán en $WHERE$.\n;Tribù $SIZE$ di nativi ostili appariranno a: $WHERE$.\n;$SIZE$ ellenséges törzs érkezik $WHERE$-hez.\n;$SIZE$ kmen nepøátelskıch domorodcù se objeví v $WHERE$.\n;;;;;;x
CHANGE_SIEGE;Çàùèòíèêè êğåïîñòè â ïğîâèíöèè $WHERE$ ïîëó÷àò $SIZE$ øòğàô.;Les défenseurs dans le siège de $WHERE$ vont subir des pénalités $SIZE$.;Die Verteidiger der Belagerung von $WHERE$ erleiden $SIZE$ Punktabzug.;Obroñcy w trakcie oblê¿enia $WHERE$ otrzymuj¹ karê $SIZE$.;Los defensores del asedio de $WHERE$ tendrán penalizaciones $SIZE$.;I difensori nell'assedio di $WHERE$ subiranno danni $SIZE$.;$WHERE$ ostromában a védõk $SIZE$ büntetést kapnak.;Obránce obléhané pevnosti v $WHERE$ obdrí postih $SIZE$.;;;;;;x
SIEGE_MINOR;íåáîëüøîé;mineures;klein;Ma³a;pequeñas;minori;kis;menší;;;;;;x
SIEGE_AVERAGE;ñğåäíèé;moyennes;durchschnittlich;Œrednia;medias;medi;közepes mértékû;prùmìrnı;;;;;;x
SIEGE_MAJOR;áîëüøîé;majeures;groß;Du¿a;grandes;maggiori;nagy;velkı;;;;;;x
counterfeit_currency;Ïîääåëàòü äåíüãè;Fausse monnaie;Falschgeld;Fa³szuj pieni¹dze;Falsificación de moneda;Contraffare denaro;Pénzrontás;Padìlaná mìna;;;;;;x
sow_discontent;Ïîñåÿòü íåäîâîëüñòâî;Semer la discorde;Unmut schüren;Siej niezadowolenie;Sembrar descontento;Semina scontentezza;Elégedetlenkedés;Sémì sváru;;;;;;x
fabricate_claims;Ñôàáğèêîâàòü ïğåòåíçèè;Prétentions truquées;Falsche Anschuldigungen fabrizieren;Fabrykuj roszczenia;Inventarse pretensiones;Formula richieste;Hamis iratok;Nepodloené nároky;;;;;;x
incite_natives;Ñïğîâîöèğîâàòü òóçåìöåâ;Provoquer les indigènes;Eingeborene anstacheln;Podburzaj tubylców;Incitar a indígenas;Incita i nativi;Lakosság felbújtása;Podnìcovat domorodce;;;;;;x
bribe_defenders;Ïîäêóïèòü çàùèòíèêîâ;Soudoyer les défenseurs;Verteidiger bestechen;Przekup obroñców;Sobornar defensores;Corrompi difensori;Védõk lefizetése;Uplatit obránce;;;;;;x
counterfeit_currency_desc;Ââåäÿ â îáğàùåíèå ìîíåòû ñ ìåíüøèì ñîäåğæàíèåì äğàãîöåííîãî ìåòàëëà, ìû óìåíüøèì äîâåğèå ëşäåé ê ìîíåòíîé ñèñòåìå. İòî òàêæå âûçîâåò ğîñò èíôëÿöèè ó íàøèõ ïğîòèâíèêîâ.;En mettant en circulation de la monnaie contenant moins de métal précieux, nous allons réduire la confiance de leur population en leur monnaie. Cela pourrait bien augmenter le taux d'inflation de notre rival.;Durch die Einführung von Münzen mit geringerem Edelmetallgehalt nehmen wir dem Volk das Vertrauen in die Währung. Dies kann bei unserem Rivalen zu einer Inflation führen.;Wprowadzaj¹c do obiegu monety o mniejszej zawartoœci cennego metalu ni¿ teraz, zmniejszymy zaufanie ludnoœci do systemu monetarnego. Mo¿e to spowodowaæ zwiêkszenie inflacji u naszego rywala.;Al poner en circulación monedas con un contenido menor de metales preciosos que el real, reduciremos la confianza de la gente en el cuño. Esto podría causar un aumento de la inflación de nuestro rival.;Mettendo in circolazione monete contenenti metalli meno preziosi renderemo la gente meno familiare con il denaro. Questo potrebbe causare un aumento dell'inflazione per il nostro avversario.;Ha csökkentjük a pénzeink fémtartalmát, azáltal több pénzt hozhatunk forgalomba. Ennek köszönhetõen riválisainknak komolyabb inflációval kell szembenézniük.;Pokud do obìhu uvedete mince s menším obsahem drahıch kovù, dùvìra lidu v mìnu poklesne. Tímto zpùsobem mùete zvıšit protivníkovu inflaci.;;;;;;x
sow_discontent_desc;Íåñêîëüêî ğàçóìíî ğîçäàííûõ âçÿòîê íàèáîëåå âëèÿòåëüíûì ëşäÿì â ıòîé ñòğàíå çàñòàâÿò èõ âûñòóïèòü ïğîòèâ òåêóùåãî ïğàâèòåëüñòâà. İòî ïğèâåäåò ê ñíèæåíèş ñòàáèëüíîñòè è ïàäåíèş ıòîãî, áåçóñëîâíî âğàæåñêîãî íàì ãîñóäàğñòâà.;Quelques pots-de-vin judicieusement placés auprès des personnes les plus influentes de ce pays vont les amener à s'exprimer contre le gouvernement actuel. Ceci pourraît affecter la stabilité de cet État hostile.;Mehrere geschickt platzierte Bestechungen der einflussreichsten Menschen dieses Landes werden sie veranlassen, sich gegen die momentane Regierung auszusprechen. Dies kann zum Zusammenbruch dieses zweifellos feindlichen Staats führen.;Kilka rozs¹dnych ³apówek wrêczonych najbardziej wp³ywowym ludziom w tym pañstwie sprawi, ¿e wyst¹pi¹ oni przeciwko obecnym w³adzom. To mo¿e spowodowaæ bez w¹tpienia spadek stabilnoœci wrogiego pañstwa.;La creación de varios documentos falsos puede demostrar sin ningún género de dudas que esa provincia es, de hecho, parte de nuestro reino. De tener éxito, conseguiríamos un núcleo en esa provincia.;Molte tangenti date alle persone giuste, cioè alle più influenti di questa nazione, le porteranno a rivoltarsi contro il governo corrente. Ciò potrebbe minare seriamente la stabilità di questo stato, indubbiamente ostile a noi, fino a portarla alla caduta definitiva.;Néhány megfelelõen megválasztott és megvesztegetett személy hajlandó aláásni a kormányzat tekintélyét. Ez akár le is csökkentheti az állam stabilitását.;Nìkolik vhodnıch úplatkù vybranım dùleitım lidem v tomto státì – a oni zaènou hovoøit a jednat proti aktuální vládì. Nelze pochybovat o tom, e to uškodí stabilitì protivníka.;;;;;;x
incite_natives_desc;Îáèëüíûõ ïîñòàâîê áóñ, øåğñòÿíûõ îäåÿë, âèñêè è îñîáåííî îãíåñòğåëüíîãî îğóæèÿ ìîæåò áûòü äîñòàòî÷íî, ÷òîáû óáåäèòü ìåñòíûõ òóçåìöåâ ïîäíÿòü âîññòàíèå ïğîòèâ íûíåøíèõ âëàäåëüöåâ ïğîâèíöèè.;Une généreuse distribution de pacotille, de couvertures, d'alcool et surtout d'armes, pourrait bien convaincre les indigènes de cette province de se révolter contre ceux qui en veulent à nos terres.;Unsere großzügigen Geschenke - Perlen, Decken, Whiskey und besonders Gewehre - könnten ausreichen, um die Eingeborenen dieser Provinz zu einer Revolte gegen die Kräfte aufzuwiegeln, die uns das uns zustehende Land nehmen wollen.;Dostarczenie du¿ej iloœci paciorków, koców, whisky a szczególnie broni palnej mo¿e wystarczyæ do przekonania tubylców tej prowincji, aby wzniecili bunt przeciwko tym, którzy odbieraj¹ im ziemiê.;El reparto liberal de abalorios, mantas aguardiente y, especialmente, armas de fuego puede bastar para convencer a los indígenas de esta provincia que se levanten contra los que nos arrebataran nuestras legítimas tierras.;Il libero rifornimento di grano, lenzuola, whiskey e in particolare di armi potrebbe essere sufficiente a convincere i nativi di questa provincia di far scoppiare una rivolta contro chi vuole impossessarsi delle nostre terre legittime.;Némi támogatás - whiskey, élelem, és fegyver képében - talán elég okot adhat a provincia lakosságának arra, hogy fellázadjon és megpróbáljon megszabadulni zsarnokaiktól.;Dodávky potravin, pøikrıvek, whisky a zejména palnıch zbraní, které poskytneme domorodcùm zdarma, mohou napomoci tomu, aby domorodci povstali proti tìm, kdo se snaí uzmout zemi, na ni máme nárok my.;;;;;;x
bribe_defenders_desc;Îñàäà êğåïîñòè ìîæåò áûòü ÷ğåçâû÷àéíî óòîìèòåëüíîé, è ïîòîìó íåáîëüøàÿ ñóììà çîëîòà, ïåğåäàííàÿ â íóæíûå ğóêè, âïîëíå ìîæåò óñêîğèòü ıòîò ïğîöåññ.;Assiéger une forteresse peut se révéler long et pénible. Un peu d'or offert à la personne qui convient permettra d'accélérer les opérations.;Festungsbelagerungen können sehr langwierig und kräftezehrend sein, doch eine kleine Summe Goldes, in die richtige Hand gelegt, kann die ganze Sache erheblich beschleunigen. ;Obleganie fortecy mo¿e byæ bardzo nu¿¹ce, jednak ma³a suma w z³ocie przekazana w dobre rêce mo¿e przyspieszyæ ca³¹ sprawê. ;Una fortaleza puede resultar muy cansada de asediar, aunque una pequeña suma de oro puesta en las manos correctas puede hacer que el proceso se acelere. ;Una fortezza può essere molto estenuante da assediare, tuttavia una piccola quantità di oro messa nelle mani giuste può rivelarsi decisiva per accelerare il processo. ;Egy erõd ostroma meglehetõsen sok erõforrást igényelhet… Persze a jó kézbe eljuttatott kenõpénz nagyban megkönnyítheti a dolgot.;Obléhat pevnost mùe bıt dlouhodobı a únavnı proces – nicménì mìšec zlaákù do správnıch rukou tento proces mùe zkrátit.;;;;;;x
BLOCKADED_PEACE;Áëîêèğîâàííûé ïîğò;Port sous blocus;Hafen blockiert;Port zablokowany;Puerto bloqueado;Porto bloccato;Kikötõ blokád alatt;Pøístav uzavøen blokádou;;;;;;x
EXPENSEVASSAL;Âàññàëüíûå îáÿçàòåëüñòâà;Tribut de vassalité;Vasallenausgaben;Op³ata wasalna;Coste del vasallo;Quota vassallo;Vazallus ár;Poplatek vazala;;;;;;x
CORE_LAST_CONTROL;§Y$DATE$§W ıòà ïğîâèíöèÿ èñ÷åçíåò èç ïîëÿ çğåíèÿ äåğæàâû, è îíè ïåğåñòàíóò ñ÷èòàòü åå ñâîåé íàöèîíàëüíîé òåğğèòîğèåé.;En §Y$DATE$§W, cette province aura échappé à leurs griffes. Elle n'aura plus le statut de province nationale.;Am §Y$DATE$§W wird diese Kernprovinz sich ihrer Kontrolle weit genug entzogen haben, und sie werden sie endgültig verlieren.;W §Y$DATE$§W roku ta prowincja wyœlizgnie im siê z r¹k i strac¹ prowincjê narodow¹.;El §Y$DATE$§W esta provincia se habrá librado de su yugo, y perderán así el núcleo provincial.;In data §Y$DATE$§W questa provincia si sarà allontanata moltissimo dalla loro influenza a tal punto che perderanno la Provincia nazionale.;;Dne §Y$DATE$§W ztratí vliv na tuto provincii do té míry, e ji nebudou moci nadále povaovat za dùleitou.;;;;;;x
CORE_HAS_CONTROL;Îíè êîíòğîëèğóşò äàííóş ïğîâèíöèş.;Ils contrôlent la province.;Sie kontrollieren die Provinz.;Kontroluj¹ prowincjê.;Tienen el control de la provincia.;Hanno il controllo della provincia.;Õk irányítják a tartományt.;Ovládají danou provincii.;;;;;;x
CORE_EXPLAIN;×òîáû ïğîâèíöèÿ ïåğåñòàëà áûòü íàöèîíàëüíîé, äîëæíî ïğîéòè §Y$YEARS$§W ëåò ïîñëå ñëåäóşùèõ ñîáûòèé:\n1) Ïîñëå ïîëó÷åíèÿ ïğåòåíçèé íà ïğîâèíöèş.\n2) Ïîñëå ïîñëåäíåé ïî âğåìåíè âîéíû ñ òåêóùèì âëàäåëüöåì ïğîâèíöèè.\n3) Ïîñëå ïîñëåäíåé ïî âğåìåíè ñìåíû âëàäåëüöà ïğîâèíöèè.\n\n×òîáû ïğîâèíöèÿ ñòàëà íàöèîíàëüíîé, äîëæíî ïğîéòè íå ìåíåå §Y$GAIN$§W ëåò ñ ìîìåíòà åå ïåğåõîäà ïîä óïğàâëåíèå äåğæàâû.;Une province d'une nation perdra le statut de province nationale §Y$YEARS$§W ans après l'évènement suivant le plus récent : \n1) Après avoir reçu le statut sans parvenir à conquérir la province. \n2)Après la dernière guerre entre la nation et le propriétaire actuel. \n3)  Après le dernier changement de propriétaire.\n\nUne nation gagnera pour une province le statut de province nationale §Y$GAIN$§W années après en avoir pris possession.;Ein Land verliert eine Kernprovinz §Y$YEARS$§W Jahre nach den letzten der folgenden Ereignisse: \n1) nach ihrem Erhalt der Provinz. \n2) nach dem letzten Krieg des Landes mit dem momentanen Eigentümer. \n3) nach dem letzten Eigentümerwechsel.\n\nEin Land erhält eine Kernprovinz §Y$GAIN$§W Jahre, nachdem sie ihn sein Eigentum übergegangen ist.;Pañstwo straci prowincjê narodow¹ w §Y$YEARS$§W lat po ostatniej z zaistnia³ych sytuacji: \n1) uzyskaniu jej. \n2) po ostatniej wojnie z pañstwem, bêd¹cym jej aktualnym w³aœcicielem. \n3) Ostatniej zmianie prawa w³asnoœci prowincji.\n\nPañstwo uzyska prowincjê jako prowincjê narodow¹ w §Y$GAIN$§W lat po uzyskaniu do niej prawa w³asnoœci.;Una nación perderá un núcleo provincial tras §Y$YEARS$§W años del hecho más reciente de los siguientes: \n1) Tras haberla recibida. \n2) Tras la fecha más reciente en que la nación estuviera en guerra con el propietario actual.  \n3) El cambio más reciente de propiedad de la provincia.\n\nUna nación ganará un núcleo provincial tras §Y$GAIN$§W años de haberse adueñado de ella.;Una nazione perderà la sua Provincia nazionale §Y$YEARS$§W anni dopo il più recente dei seguenti avvenimenti: \n1) Dopo averla ricevuta. \n2) Dopo il periodo più recente in cui la nazione è stata in guerra con l'attuale proprietario. \n3) Il più recente cambio di nazione della provincia.\n\nUna nazione si guadagnerà una provincia nazionale §Y$GAIN$§W anni dopo averne preso possesso.;A nemzet §Y$YEARS$§W év után elveszít egy magprovinciát, ha: \n1) valaki más birtokolja azt. \n2) ennyi évig volt háborúban a jelenlegi tulajdonossal. \n\nEgy nemzet megszerezhet egy magprovinciát, ha §Y$GAIN$§W évig birtokolja azt.;Národ ztratí nárok na to, aby provincii povaoval za dùleitou, po §Y$YEARS$§W letech uplynuvších od: \n1) Chvíle, kdy ji získal. \n2) Poslední války s aktuálním vlastníkem. \n3) Poslední zmìny vlastníka provincie.\n\nNárod získá nárok na to, aby povaoval provincii za dùleitou, po §Y$GAIN$§W letech od chvíle, kdy se stal jejím vlastníkem.;;;;;;x
MAINTENANCE;Ñîäåğæàíèå;Maintenance;Unterhalt;Utrzymanie;Mantenimiento;Mantenimento;Fenntartás;Údrba;;;;;;x
MAINTENANCE_DUC; ¤ â ìåñÿö; ducats par mois.; Dukaten monatlich.;dukatów ka¿dego miesi¹ca; ducados cada mes; ducati al mese.;dukát minden hónapban.; dukátù kadı mìsíc;;;;;;x
ATTR_SHIP_AT_PORT;0% - â ïîğòó;0% - Au port;0% - Im Hafen;0% - w porcie;0% - En puerto;0% - Al porto;0% - Kikötõben;0% - V pøístavu;;;;;;x
ATTR_HOME_WATERS;0% - â äğóæåñòâåííûõ âîäàõ;0% - en eaux territoriales;0% - Heimatgewässer;0% - wody pañstwowe;0% - Aguas patrias;0% - Acque nazionali;0% - Hazai vizeken;0% - Domovské vody;;;;;;x
ATTR_BASE;Áàçîâîå çíà÷åíèå;Valeur de base;Grundwert;Wartoœæ podstawowa;Valor base;Valore di base;Alapérték;Základní hodnota;;;;;;x
ATTR_TIME_AT_SEA;Äëèòåëüíîå ïëàâàíèå;Temps en mer;Zeit auf See;Czas na morzu;Tiempo en el mar;Tempo in mare;Tengernél;Èas na moøi;;;;;;x
ATTR_OPEN_SEA;Îòêğûòîå ìîğå;Haute mer;Hohe See;Otwarte morze;Mar abierto;Alto mare;Nyílt tenger;Otevøené moøe;;;;;;x
ATTR_LEADER;Ìàíåâğåííîñòü êîìàíäóşùåãî;Manœuvre du chef;Anführer Manöver;Manewr dowódcy;Maniobra del líder;Livello di manovra del condottiero;Vezér - manõver;Velitelskı manévr;;;;;;x
ENEMY_SIEGES;Âğàæåñêèå îñàäû;Sièges ennemis;Feindliche Belagerungen;Wrogie oblê¿enia;Asedios hostiles;Assedi nemici;Ellenséges ostromok;Nepøátelské obléhání;;;;;;x
COTLEDGER_COT_FREE_SLOT_S;×èñëî ñâîáîäíûõ ìåñò â äàííîì òîğãîâîì öåíòğå;Nombre d'emplacements libres dans ce centre de commerce.;Die Anzahl der freien Plätze in diesem Handelszentrum.;Jak du¿o wolnych miejsc znajduje siê w Centrum Handlu.;La cantidad de casillas libres que tiene este centro de comercio.;Quanti spazi liberi ha questo Centro di commercio.;Mennyi szabad hellyel rendelkezik a Kereskedelmi Központ.;Kolik volnıch pozic je v tomto obchodním centru.;;;;;;x
COTLEDGER_COT_FREE_SLOT_L;Åñëè â òîğãîâîì öåíòğå íåò ñâîáîäíûõ ìåñò, òî, ïğåæäå ÷åì îáîñíîâàòüñÿ â íåì, âàì íåîáõîäèìî ñíà÷àëà âûíóäèòü êóïöà äğóãîé äåğæàâû ïîêèíóòü ıòîò öåíòğ.;S'il n'y a pas d'emplacements libres, vous devez d'abord utiliser un marchand éliminer de la compétition un autre marchand de ce centre de commerce..;Wenn keine freien Plätze vorliegen, muss zuerst ein Händler ausgesandt werden, um einen anderen Händler per Konkurrenzkampf aus dem Handelszentrum zu werfen.;Jeœli nie ma wolnych miejsc, kupiec musi najpierw rywalizowaæ z innym kupcem z tego centrum handlu.;Si no hay casillas libres, se ha de gastar primero un comerciante para que expulse a otro de este centro de comercio.;Se non ci sono spazi liberi disponibili, devi sacrificare un mercante per far spazio a un altro mercante del Centro di commercio.;Ha nincs több szabad hely, a kereskedõnek meg kell próbálnia elõször eltávolítani valakit, aki helyet foglal a kereskedelmi központban.;Nejsou-li ádné volné pozice, bude muset obchodník nejprve jiného obchodníka z obchodního centra vypudit.;;;;;;x
UNITARRIVED_SETUP;Íàøå ïîäğàçäåëåíèå ïğèáûâàåò íà ìåñòî íàçíà÷åíèÿ;Quand une de nos unités arrive à destination.;Wenn eine unserer Einheiten ihr Ziel erreicht;Kiedy jedna z naszych jednostek przybywa na miejsce;Cuando una de nuestras unidades llegue a su destino.;Quando una delle nostre unità arriverà a destinazione;Ha az egyik egységünk megérkezett a célponthoz.;Kdy jedna z našich jednotek dorazí na místo urèení;;;;;;x
UNITARRIVED_HEADER;$MESSENGER$;$TYPE$ est arrivé(e) !;$TYPE$ Angekommen!;$TYPE$ przybywa!;Ha llegado la unidad de $TYPE$;$TYPE$ arrivato!;$TYPE$ megérkezett!;$TYPE$ dorazila!;;;;;;x
UNITARRIVED_1;$TYPE$ ïğèáûëà!;$MESSENGER$,;$MESSENGER$,;$MESSENGER$,;$MESSENGER$,;$MESSENGER$,;$MESSENGER$,;$MESSENGER$,;;;;;;x
UNITARRIVED_2;Ãîñóäàğü, íàøà $TYPE$;notre $TYPE$,;unsere $TYPE$ von;nasze $TYPE$ z;nuestra unidad de $TYPE$ de;$TYPE$ di;$TYPE$ egységünk,;naše $TYPE$ jménem;;;;;;x
